T4a,,T5a,,T4b,,T5b,
X,Y,X,Y,X,Y,X,Y
-40.25877430513805,0.29615179100582667,-40.054734035058345,0.13011402122846705,-41.17440031139495,0.9536744318304041,-39.95565027290894,0.04948460977938751
-39.01596577299869,0.31228113670982105,-38.76840695085033,0.11083014518658918,-40.35571696205484,0.9296363492626452,-38.68528501056693,0.04318966628097831
-37.773006657634184,0.3282879453143487,-37.481778700192,0.09130119494577782,-39.288488470441635,0.9135079094108647,-37.41507033145008,0.03701725988203597
-36.52854171001816,0.3430693829242095,-36.19650569856004,0.07287507860016662,-38.46980512110152,0.8894698268431057,-36.144253319432615,0.03035470508522664
-35.264651526357646,0.34204353470286775,-34.92087002333774,0.06229133662042363,-37.40226605158645,0.8730886542236751,-34.87102697581274,0.021731556696950483
-33.99443684724079,0.3358711283039253,-33.649149511969384,0.05489355922681427,-36.68993681073508,0.8480282056716562,-33.60156521282164,0.016171835795341316
-32.72392100167363,0.32945364770604946,-32.37742900060101,0.04749578183320469,-36.06871382370183,0.8167225178498423,-32.31855095956694,-0.00041622405826968745
-31.453706322556776,0.3232812413071068,-31.105557906007494,0.03997546734012869,-35.58882386667948,0.7859787071318041,-31.035988455987695,-0.01663667261348034
-30.183190476989616,0.31686376070923106,-29.835493810115786,0.03392559804065276,-34.98687065092146,0.7564968779550478,-29.771646522651732,-0.01803013213322191
-28.968699120339917,0.3093332630255541,-28.56603204712469,0.028365877139044038,-34.39652417503919,0.7253402845563791,-28.508961004792432,-0.018075683558830047
-26.60363145695589,0.29958019458445373,-27.296269117683284,0.022561082038501157,-33.78337437942821,0.6934190878017603,-27.24672723660858,-0.0177536236860385
-25.339590690070228,0.2984318092636452,-26.029367269519753,0.0190844918278259,-33.169893300721895,0.6612283094283147,-25.985246384550486,-0.01681887831591311
-24.090758828924823,0.3096596709889722,-24.771048665189834,0.02259251628675174,-32.55641222201558,0.629037531054869,-24.72421728216785,-0.015516521647387593
-22.842529300680027,0.3213776811121659,-23.525379051772603,0.03639365710087872,-31.943151998706153,0.5970264737606413,-23.474180755221234,-0.005268956717794149
-21.593848022759772,0.3327280799369595,-22.28076352093143,0.05105255761127303,-31.305719152207306,0.5640261223229773,-22.233781554684292,0.012820982577667062
-20.394545996031063,0.34689848846496374,-21.03705148944116,0.06644668071846738,-30.848896327898746,0.5316612822898591,-20.97546295035437,0.016329007036592902
-19.70295940621522,0.38191759626480914,-19.772505193156768,0.06488692084944936,-30.379181494518747,0.49790665658158206,-19.714885597647182,0.017998975003518103
-19.053975822459115,0.41424254429186436,-18.727893871723474,0.04303334834466943,-29.92487678578207,0.46026900619569244,-18.45174833011243,0.017585812279509838
-18.404992238703016,0.44656749231891957,-17.49619988743251,0.03395833106922019,-29.50415048149336,0.4266276381024773,-17.187858146451923,0.016559964058168175
-17.756008654946925,0.4788924403459748,-15.769424398818856,-0.01681981946107025,-29.12394289630942,0.397451385313331,-15.925022045367463,0.016391875533093403
-17.10702507119082,0.5112173883730299,-14.51920717200207,-0.02228694736496406,-28.78291832116999,0.3683173899417428,-14.66083069525665,0.015120953112818247
-16.50871274269806,0.5423188476957326,-13.348724838497226,0.03490624440458734,-28.29802201522447,0.33334569703491657,-13.398145177397346,0.01507540168721011
-15.788163405594439,0.5722080851661075,-12.351943960029544,0.06146354716882918,-27.856785056663128,0.30036059214879907,-12.135459659538043,0.015029850261601974
-15.329498016260416,0.6059519305220104,-11.43214564814744,0.09654930268583972,-27.5157604815237,0.2712265967772107,-10.873376474579345,0.015474447233860378
-14.911750033046303,0.6396330687205825,-10.553479353358725,0.12878172437962832,-27.030422464784404,0.2358954617119492,-9.572454864189687,0.021676631465576524
-14.473923321201632,0.6749378126277209,-9.64956307514764,0.1579805764168618,-26.589024884116235,0.20277965058640035,-8.716156685682414,0.05476429966193885
-14.062307550248683,0.708383534224588,-8.386303386346668,0.18306459975012102,-26.20881729893229,0.1736033977972542,-8.043616507540364,0.0903617438498665
-13.638427354773413,0.742300089024865,-7.202590661751593,0.20417274812723551,-25.716368742301356,0.13800549984291144,-7.446395907429945,0.1223515971437028
-13.226811583820464,0.7757458106217321,-6.1465238621195795,0.232154343831941,-25.239196853862005,0.12333043516444264,-6.797826427543008,0.1550135221942912
-12.802931388345193,0.8096623654220092,-5.069688160741734,0.2432352457409721,-24.10154058784564,0.13162154754126054,-6.199815265500547,0.1863600557159273
-12.391315617392237,0.8431080870188762,-3.797741774535652,0.23565366269816268,-22.842469067389963,0.13451688650285298,-5.506940436193538,0.21764190119375892
-11.987928254416701,0.8757380131341201,-2.5109629406521705,0.2160021753578849,-21.583246963709136,0.13728968836497835,-4.979413517263673,0.24761249618132974
-11.52319753273379,0.9107048243934118,-1.3403791427361043,0.1974985086513208,-20.32673535808103,0.14226815801750425,-4.381359188030004,0.2809052394592805
-11.095472831687168,0.9434524769084536,0.7641318564485999,0.16625870099051054,-19.085733824643484,0.15986794891509892,-4.098435142538776,0.31688258361237476
-10.552511730651105,0.9624202710385227,2.016878881447937,0.17430059812970367,-17.848496871834712,0.1805311672993608,-3.7929921286423394,0.3485460007084381
-9.519661080451222,0.940077848916193,3.2694753232221103,0.18246503236836342,-16.610507002900185,0.20058170018628907,-3.4871350108767345,0.37987244078096816
-8.888587170495086,0.9160841185982544,4.522071764996291,0.19062946660702318,-15.371312468164447,0.21965193627748403,-3.1819680662264105,0.4117605092260539
-7.868900169369894,0.8998346433337383,5.775119956445927,0.1984262895472828,-14.111638614808172,0.22205712684120948,-2.876387017706911,0.4433116006476061
-7.147109237721764,0.8751365617728131,7.035396142702808,0.20034133171314172,-12.845339099545242,0.21907068502840077,-2.5708059691874183,0.4748626920691583
-6.094724069241096,0.8542219237798248,8.298081660562111,0.20029578028753336,-11.579039584282313,0.21608424321559205,-2.2649488514218135,0.5061891321416885
-5.173136828644196,0.8193542859730116,9.560767178421415,0.20025022886192523,-10.312438902569085,0.21285272720385007,-1.959505837525377,0.5378525492377517
-4.89547466298383,0.7786617136050091,10.90304983076308,0.20009812532536642,-9.039965475074958,0.20484226431290709,-1.7495358510112595,0.5678121359641338
-4.59852077840528,0.7471787422699345,12.068745851635072,0.2143121609991112,-7.763351008889181,0.19346203118663063,-1.3272540220067484,0.6004725968617566
-4.357324097519552,0.7164881116312503,13.117292342979368,0.2350697090179853,-7.429044955311909,0.17828667727122594,-1.0945018332685876,0.6342741881955186
-3.959262719805018,0.6806682479528159,14.945562239960282,0.275909881479767,-5.536194992259773,0.15582573046494996,-0.5150425245647412,0.6467515142315365
-3.6699342621886686,0.6453826938920102,16.022996091371397,0.29688247100866794,-4.2671849789441225,0.15063362086174092,0.052983752769513615,0.7449554703593688
-3.4044108612797856,0.6161248061719289,17.339851414758357,0.31502683359141936,-3.022268281652643,0.16504744717320152,-0.015301975255873401,0.7071170916552613
-3.138721818823228,0.5867321276424342,18.590490274605585,0.32478425012314593,-1.773135254056939,0.17603023469959522,-0.22036621126660805,0.687176333939468
-2.9082978618648028,0.558014645471614,19.840978551227636,0.33466420375433936,-1.08484944853641,0.17637299976584542,0.9112857996189021,0.7813051801624825
-2.942221250826833,0.529576269308611,21.13878007719218,0.34607409639799847,0.9473314081674005,0.2039918455488665,1.6881320378648965,0.8154419016344481
-1.7187499078344288,0.4394641494196643,22.07342558686291,0.3762960272661856,2.047639269765668,0.19597227707852793,2.451905214153662,0.8477627086228116
-1.5073844724780727,0.39878321864817967,21.78577596237629,0.33998543847311535,3.4109181466065195,0.16077182472406837,3.2154417596600453,0.880276073910337
-1.7428604966403185,0.47831476544848894,22.540693686693658,0.4154377117665633,4.68941490310668,0.1478598778544582,3.9789783051664287,0.9127894391978626
-1.3823416681448677,0.3650824992523657,23.068338465955534,0.4483061764309221,5.9742361550631955,0.1298013728072469,4.844838982674716,0.9357780340831241
-0.7802497007008142,0.3191114035736421,23.61116948073584,0.4825026866139025,7.249570663835186,0.11946270502643719,5.150850844517748,0.9632914765619353
-0.4757026569940237,0.28781808239919393,24.025810319753617,0.5146065100007113,8.523399340355667,0.11034940824029427,5.70673352588873,0.8904033722531555
-0.06683030004236201,0.25866734405525926,24.553591010028953,0.547364377077859,9.796926850425848,0.10148118565308462,6.0361710355678255,0.8521233164796396
0.513757127989912,0.22989230144662476,25.0840304595053,0.5827487244903087,11.07045436049603,0.09261296306587496,5.621065787955118,0.9309261534076365
0.7392426005200576,0.18651233300236125,25.614690764378523,0.6179533508235404,12.338711457685918,0.08803353895999955,6.446733689221816,0.8194742380604466
1.527993066007447,0.14102732328394696,26.146234490839305,0.652439092839901,13.605613305849445,0.08455694874932407,6.805169449769338,0.786786196231746
2.5301506622121366,0.11376585373927695,26.678109500395394,0.6866552532374347,14.873117486913586,0.08059021014078183,7.21290017351339,0.7528490665504171
3.5058232242579805,0.08354281778518935,27.22236818756275,0.7196899950154714,16.14062166797771,0.0766234715322398,7.5773301116990055,0.7188757968950519
4.481447068201568,0.053359426186811554,27.638528924298114,0.7505570016345862,17.418666674802438,0.06407913596102954,7.9847133356927245,0.6852214451355692
5.509798514215483,0.024224661290653593,28.168220863200375,0.78175959014158,18.702283260957728,0.047000927709551776,8.377009858025048,0.6498003539682672
6.794884615491519,0.02243402744228007,28.700316728153368,0.815796029459896,19.986050430338196,0.02980018235860782,8.76265098791653,0.6162025541733647
8.034229733452399,0.04138172643400817,29.2329647315986,0.8493831660801674,21.264547186838357,0.016888235488997427,9.148982290923286,0.5820431260059066
9.271767852711477,0.06179987061933656,29.764618885757812,0.8837790475569192,22.533557200153993,0.01169612588578861,9.507280016847744,0.5494674098517169
10.461443093856275,0.0744634869277696,30.29660432301236,0.917905347414844,23.796995634139066,0.011037888962846854,9.91501074059181,0.515530280170388
11.341165353511371,0.10583661721154791,30.88234596386951,0.9456498925450602,25.06058465134926,0.010257114940438461,10.279440678777434,0.481557010515023
12.820005561913774,0.07000402118362992,31.282121839161846,0.9721611259252032,26.324023085334332,0.009598878017496926,10.686951319346264,0.44779897351752995
14.092478989407908,0.061993558292687156,31.23819370072077,1.0079076485816247,27.68346535257035,0.01799635234568009,11.131470683327237,0.41658448990102626
15.364651250451715,0.05422816960067789,31.84433528132692,0.9349864418448037,28.758564578390178,0.04138766505995006,11.712687513387493,0.3839613467533797
16.6369740947207,0.04634024380920154,32.019125835515496,0.9031394073285717,29.759125107760212,0.06316424875372095,12.223786340250612,0.3527979847283733
17.776035804171812,0.05348767659099751,32.29618391147095,0.8729866223243208,30.532210312081247,0.10587006406251898,12.717867470014241,0.32436302492229097
18.748241261273833,0.07187319820882809,32.704701142983296,0.8420020061728837,31.639071092305073,0.1259286263655539,13.211948599777841,0.29592806511620895
19.92491364092686,0.07955024474208217,33.08882389202118,0.8096397887976036,32.64501842283984,0.16083530496492093,13.700073004654215,0.2663528331432118
21.17223966982074,0.09200347746207616,33.47294664105905,0.7772775714223235,33.444692925642855,0.19313074809129804,14.30269819115965,0.2334159457780094
22.43236527285248,0.09404105672740148,33.857069390096925,0.7449153540470435,34.21189724827613,0.22265945974181367,14.92414583953942,0.19919027085110086
23.702128202293878,0.08823626162685905,34.24119213913481,0.7125531366717633,34.97910157090941,0.2521881713923291,15.434830562533392,0.1683638858496277
24.971589965284977,0.08267654072524988,34.62531488817268,0.6801909192964832,35.746424208933874,0.2816206038932636,15.92863562305088,0.14015357739256773
26.18347623213957,0.07726593486234679,35.00943763721055,0.6478287019212031,36.54269310179765,0.3124062588213192,16.438089562603636,0.11477664193467318
27.92841205770644,0.10511570002113713,35.39356038624844,0.615466484545923,37.25398709193939,0.34250821840176693,17.697832915910013,0.11712527691402963
29.1832672478579,0.11144207776779647,35.77768313528631,0.583104267170643,37.495538884474755,0.3815130486387782,18.9581091021669,0.11904031907988832
30.425021697421187,0.12842918316805774,36.16180588432418,0.5507420497953629,37.36676532282182,0.4108593156807825,20.21808412197349,0.12120043544468051
31.153385228315685,0.142861644153631,36.54592863336207,0.5183798324200827,38.243149905291446,0.4869811312223834,21.479715557256725,0.12201264371533904
33.05147925218371,0.1394848153296182,36.92991334777689,0.4861299407193138,38.37330689240882,0.5375207485125829,22.749327903472974,0.11633038571426346
